,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,total_score,ari_mean,nmi_mean
126,4,0.1393464497534094,ahc,average,geometric,10,weekly,,1.3485,0.7163422151005042,0.67425,0.6952961075502522,0.08688328077514262,0.08030682744561449
196,4,0.1309235934841643,ahc,complete,geometric,14,weekly,,1.8867,0.7006342675131056,0.94335,0.8219921337565528,0.044557886539817605,0.07250617961809314
252,4,0.2821373389334837,ahc,average,geometric,30,weekly,,1.0081,0.9826357064650045,0.50405,0.7433428532325023,0.03352877287726392,0.06847156896952533
253,7,0.1558686776747627,ahc,average,geometric,30,weekly,,1.8419,0.747154837555349,0.656098017934266,0.7016264277448074,0.09417682536787864,0.1518183554534025
254,9,0.1433592840185851,ahc,average,geometric,30,weekly,,1.9282,0.7238258273454923,0.6082793754182422,0.6660526013818673,0.08333411846559645,0.18532354574958643
255,10,0.1482082738271347,ahc,average,geometric,30,weekly,,1.9998,0.7328688022378269,0.6019997853288296,0.6674342937833282,0.08694162502571331,0.20404407512804318
256,12,0.1424181814764236,ahc,average,geometric,30,weekly,,2.0279,0.7220707470100225,0.5656683994859262,0.6438695732479743,0.0870877102450671,0.2345028628464688
257,15,0.146897435453804,ahc,average,geometric,30,weekly,,2.8251,0.730424194398677,0.7231070158902096,0.7267656051444433,0.09952480050295769,0.2773078030774274
259,4,0.1821271589697791,ahc,complete,geometric,30,weekly,,1.7448,0.7961247872638426,0.8724,0.8342623936319213,0.07233163885860798,0.08820674689230798
261,9,0.1338652448307818,ahc,complete,geometric,30,weekly,,2.7389,0.70612021001242,0.8640267510284325,0.7850734805204262,0.09287476648513074,0.19651443702392685
273,4,0.1497385676850315,ahc,average,geometric,30,3day,,1.3619,0.7357226768552689,0.68095,0.7083363384276344,0.08263364964148975,0.09369914256204243
294,4,0.1439579520841399,ahc,average,geometric,30,full,,1.0955,0.7249422950015201,0.54775,0.63634614750076,0.06415847996981959,0.0697694444701714
315,4,0.2914483547647041,ahc,average,geometric,60,weekly,,1.4625,1.0,0.73125,0.865625,0.020046926668408536,0.043100533950682106
316,7,0.2081361476970993,ahc,average,geometric,60,weekly,,2.0439,0.8446294534566807,0.7280518697300864,0.7863406615933836,0.04115125915378516,0.10259832332545486
317,9,0.1992249333779974,ahc,average,geometric,60,weekly,,2.2197,0.8280107574953552,0.7002373870012821,0.7641240722483187,0.030924030537929772,0.13399061864709882
318,10,0.1901868655952832,ahc,average,geometric,60,weekly,,2.3318,0.8111554900558986,0.7019417438892713,0.756548616972585,0.03811554580946607,0.15235956131632536
319,12,0.1901244790290763,ahc,average,geometric,60,weekly,,2.4494,0.8110391441417799,0.6832428510778774,0.7471409976098287,0.059143809839027374,0.19133030874653154
320,15,0.1866779481298228,ahc,average,geometric,60,weekly,,2.5747,0.8046116419984154,0.6590151264778319,0.7318133842381236,0.06221517788585136,0.24807718349036395
321,18,0.165508340635408,ahc,average,geometric,60,weekly,,2.698,0.7651320314793258,0.6470140348008186,0.7060730331400722,0.06367948259890888,0.2915786758867307
322,4,0.2406395570170333,ahc,complete,geometric,60,weekly,,1.7236,0.905245690240102,0.8618,0.883522845120051,0.014042961418894107,0.048602471322165136
336,4,0.2418399814143694,ahc,average,geometric,60,3day,,1.4726,0.9074843849195828,0.7363,0.8218921924597914,0.019659340949651723,0.04389802415191024
337,7,0.1413817505855978,ahc,average,geometric,60,3day,,1.7084,0.7201378869931067,0.608544358455345,0.6643411227242259,0.033156506702623795,0.12419262241592406
338,9,0.1307931378983901,ahc,average,geometric,60,3day,,1.8615,0.7003909783676756,0.587237868136634,0.6438144232521548,0.07247808864074248,0.17772679777244269
339,10,0.1318846208532966,ahc,average,geometric,60,3day,,1.9458,0.7024265060438171,0.5857441655629746,0.6440853358033958,0.06783208367665662,0.18478455545242156
340,12,0.1469814928284652,ahc,average,geometric,60,3day,,2.5283,0.73058095462268,0.7052514494897517,0.7179162020562159,0.07458636772431487,0.2153624656292326
341,15,0.1423216450561606,ahc,average,geometric,60,3day,,2.6073,0.7218907143724832,0.6673593580866319,0.6946250362295576,0.07442709307376298,0.2544858180554408
342,18,0.1527029283362889,ahc,average,geometric,60,3day,,3.0634,0.7412509703760928,0.7346415100848139,0.7379462402304533,0.07748288639604164,0.2978067036005122
343,4,0.1640642899169981,ahc,complete,geometric,60,3day,,1.9017,0.7624389933609915,0.95085,0.8566444966804958,0.05772467901970823,0.08060785893401928
344,7,0.1641902483466567,ahc,complete,geometric,60,3day,,2.6854,0.762673895672989,0.9565587802598827,0.8596163379664359,0.06635120030435424,0.15560922178558445
357,4,0.1358669596654338,ahc,average,geometric,60,full,,1.3819,0.7098532467285327,0.69095,0.7004016233642663,0.07173061331972412,0.08939301198206852
364,4,0.1436210778711858,ahc,complete,geometric,60,full,,1.895,0.7243140517653213,0.9475,0.8359070258826606,0.04777332075302529,0.06327988063315246
0,4,0.1587716828739744,kshape,not_applicable,geometric,1,weekly,0.2103700625043903,1.9726,0.752568708106799,0.9863,0.8694343540533995,0.5050133477109331,0.4873800858998859
1,7,0.1839234825193003,kshape,not_applicable,geometric,1,weekly,0.167699149202727,2.6223,0.7994747857992466,0.9340821067533666,0.8667784462763066,0.511258593406104,0.5470104663140246
2,9,0.1763313596458965,kshape,not_applicable,geometric,1,weekly,0.1490866038862416,3.0084,0.7853160889913755,0.9490445353221864,0.8671803121567809,0.5731935684643625,0.6260237306177525
4,12,0.2007967265687108,kshape,not_applicable,geometric,1,weekly,0.1338014491559981,3.3438,0.8309420250213257,0.932729421668248,0.8818357233447869,0.5311685907115743,0.6203928129247442
5,15,0.131068783528216,kshape,not_applicable,geometric,1,weekly,0.12151849917659,3.6654,0.7009050352347992,0.9381885441378977,0.8195467896863484,0.6361765600726902,0.6912056341325268
7,4,0.1760819635080355,kshape,not_applicable,geometric,1,3day,0.2236617658990476,1.8667,0.7848509853095849,0.93335,0.8591004926547925,0.537280394424345,0.5352340594102045
8,7,0.1859204683287831,kshape,not_applicable,geometric,1,3day,0.1783957269787601,2.4917,0.8031990032648435,0.8875614481170587,0.8453802256909511,0.6676505567146314,0.698261945160982
9,9,0.2090211087985084,kshape,not_applicable,geometric,1,3day,0.153162111383417,2.9549,0.8462798345332969,0.9321671644141498,0.8892234994737234,0.6086170748698361,0.7012594860753505
11,12,0.1875945500038811,kshape,not_applicable,geometric,1,3day,0.1391007742947149,3.3,0.806321030564001,0.9205117206487284,0.8634163756063646,0.6505026749859153,0.7272402257813751
12,15,0.196041556509879,kshape,not_applicable,geometric,1,3day,0.120923782479685,3.7071,0.8220740163950797,0.9488619937724669,0.8854680050837733,0.5916094777480216,0.7125467723729615
14,4,0.1982384589287917,kshape,not_applicable,geometric,1,full,0.2161836682856588,1.9232,0.8261710622127691,0.9616,0.8938855311063846,0.8257088795862924,0.8029463733864773
15,7,0.2014937691816681,kshape,not_applicable,geometric,1,full,0.1717229068978963,2.6252,0.8322419532737519,0.9351151075959798,0.8836785304348659,0.7957671113469924,0.8004271737635414
16,9,0.1326653995640719,kshape,not_applicable,geometric,1,full,0.1606489615591232,2.9491,0.7038825953648467,0.9303374681287926,0.8171100317468196,0.6905463173653599,0.747805427180597
19,15,0.1686550101301041,kshape,not_applicable,geometric,1,full,0.127355120976449,3.6235,0.7710003162888424,0.9274639028983663,0.8492321095936044,0.6091762317518162,0.7551944267008128
25,12,0.1503954678601985,kshape,not_applicable,geometric,7,weekly,0.079658178337219,3.3951,0.7369477426989487,0.9470391947801509,0.8419934687395498,0.260204778542272,0.4283143040341309
29,7,0.1556267646718431,kshape,not_applicable,geometric,7,3day,0.1392947695467294,2.7017,0.7467036893166634,0.9623649574097436,0.8545343233632035,0.37989452862742035,0.4460464808644607
30,9,0.1699936293778441,kshape,not_applicable,geometric,7,3day,0.1244038740567795,3.0443,0.7734967332180687,0.960369724398794,0.8669332288084313,0.4285223648568168,0.48494311579155674
31,10,0.18327555393303,kshape,not_applicable,geometric,7,3day,0.1179111515452373,3.1357,0.7982664512452458,0.9439397574035459,0.8711031043243957,0.41140266951977844,0.5253117854087758
32,12,0.1764363158584272,kshape,not_applicable,geometric,7,3day,0.1093805145914347,3.4403,0.7855118238623865,0.959647415923582,0.8725796198929843,0.4068346855606806,0.5143995106720548
33,15,0.173250970248489,kshape,not_applicable,geometric,7,3day,0.0988690470739508,3.6603,0.7795714112174081,0.9368831582113676,0.8582272847143879,0.3842833705537143,0.55279243046918
35,4,0.1626600469237795,kshape,not_applicable,geometric,7,full,0.1854360990166464,1.9368,0.7598201934394031,0.9684,0.8641100967197015,0.5189541576038366,0.5119829157529057
37,9,0.1761341978755926,kshape,not_applicable,geometric,7,full,0.1358716784352966,2.9315,0.7849483981920584,0.9247852862973639,0.8548668422447112,0.5922213817128341,0.6546554867029591
38,10,0.1610440263532404,kshape,not_applicable,geometric,7,full,0.1322124686723997,3.0823,0.7568064454172656,0.9278647556350893,0.8423356005261775,0.5038638515487633,0.6183168329200451
39,12,0.1857149410240601,kshape,not_applicable,geometric,7,full,0.1261129128025555,3.3036,0.8028157114185661,0.9215159152530725,0.8621658133358193,0.5765316816726354,0.667785631546858
40,15,0.1536786475534901,kshape,not_applicable,geometric,7,full,0.1103329267486865,3.6314,0.7430706080184655,0.9294859712943639,0.8362782896564147,0.5877212445909632,0.6855471016215138
51,9,0.1424594541495884,kshape,not_applicable,geometric,10,3day,0.1136952478182639,3.1056,0.722147717216582,0.9797077213457591,0.8509277192811706,0.329599677666839,0.4184740388635197
52,10,0.1647031272298814,kshape,not_applicable,geometric,10,3day,0.1080949659829356,3.167,0.7636303734233922,0.9533619962678285,0.8584961848456103,0.31857931470292405,0.45471840336099817
53,12,0.1513615237976584,kshape,not_applicable,geometric,10,3day,0.1002954663762004,3.3919,0.7387493591040064,0.9461465773540674,0.8424479682290369,0.3550072568085804,0.49216353877609265
54,15,0.1775848126575091,kshape,not_applicable,geometric,10,3day,0.0867651573401587,3.6822,0.7876536777594008,0.9424886389547026,0.8650711583570516,0.36749133410026047,0.5324580369786898
56,4,0.1519417939970818,kshape,not_applicable,geometric,10,full,0.1785514095333054,1.9452,0.7398315162235994,0.9726,0.8562157581117997,0.38876642618156226,0.3870425582482543
57,7,0.1680596422514802,kshape,not_applicable,geometric,10,full,0.1480873279426713,2.5865,0.7698900032152605,0.9213298894548994,0.8456099463350799,0.45022617321153174,0.4992198715267293
58,9,0.1621579170874109,kshape,not_applicable,geometric,10,full,0.1325450073677183,2.9682,0.7588837617944104,0.9363628472754,0.8476233045349052,0.4634285495456332,0.5271721358226713
59,10,0.1727612913372511,kshape,not_applicable,geometric,10,full,0.1246243563753724,2.9997,0.7786581995435409,0.9029996779932444,0.8408289387683927,0.48474929438163,0.5706915968246995
60,12,0.1737165050822787,kshape,not_applicable,geometric,10,full,0.1206439719151473,3.3212,0.7804395961342014,0.9264253110965325,0.853432453615367,0.511716483271839,0.5969804221832113
61,15,0.1978876880015921,kshape,not_applicable,geometric,10,full,0.1042020346006463,3.5814,0.825516902725357,0.9166880700538731,0.8711024863896151,0.47435523167900934,0.6007075306524206
72,9,0.1347936369605055,kshape,not_applicable,geometric,14,3day,0.0984629288624475,3.0432,0.7078515864538656,0.9600227130343297,0.8339371497440977,0.26417212834386017,0.38043633829878254
73,10,0.1388268344441852,kshape,not_applicable,geometric,14,3day,0.0941737782686586,3.1411,0.7153731744589458,0.9455653193801313,0.8304692469195385,0.24609823502332748,0.38662301101035623
75,15,0.1506254543775263,kshape,not_applicable,geometric,14,3day,0.0778794942601606,3.625,0.7373766490039493,0.9278478399355811,0.8326122444697652,0.3075609474545513,0.4909689035043263
77,4,0.13477680723647,kshape,not_applicable,geometric,14,full,0.1729640307833787,1.9858,0.7078202003759593,0.9929,0.8503601001879797,0.36434623951405576,0.36006991465292393
78,7,0.1555100343258615,kshape,not_applicable,geometric,14,full,0.137029934327764,2.6893,0.7464859966364222,0.9579479882896039,0.8522169924630131,0.38218139438822674,0.4337936598266306
80,10,0.1318527539600617,kshape,not_applicable,geometric,14,full,0.1176134462915909,3.1964,0.7023670768581933,0.9622122781403496,0.8322896774992714,0.39607754624295244,0.5073150342202739
81,12,0.1893761618828711,kshape,not_applicable,geometric,14,full,0.1060291131261878,3.4205,0.8096435930204502,0.9541243455996897,0.88188396931007,0.38753636678891934,0.510194647395139
82,15,0.1785351387653081,kshape,not_applicable,geometric,14,full,0.1004602335161565,3.5808,0.7894259593008477,0.9165344952389872,0.8529802272699174,0.3748791739858467,0.5247296082725752
101,10,0.1438973478081978,kshape,not_applicable,geometric,30,full,0.0942978090898347,3.1576,0.7248292729149928,0.9505323143085871,0.8376807936117899,0.23754216098388495,0.395360957675481
102,12,0.1408965173298256,kshape,not_applicable,geometric,30,full,0.0857573056254514,3.3957,0.7192329661081138,0.9472065605475417,0.8332197633278278,0.29907042642344034,0.44594393718630687
103,15,0.146907116862695,kshape,not_applicable,geometric,30,full,0.0768512872680853,3.6154,0.730442249445394,0.9253906428974069,0.8279164461714005,0.32773812854365814,0.5143171400936117
84,4,0.1910437655918532,kmeans,not_applicable,geometric,30,weekly,8.811879567499888,1.8087,0.8127535394352892,0.90435,0.8585517697176446,0.057605670651341034,0.08452641747267983
91,4,0.142418489817005,kmeans,not_applicable,geometric,30,3day,19.85971764531033,1.9893,0.7220713220403372,0.99465,0.8583606610201686,0.04407669441042688,0.061575217616556634
105,4,0.2582920354003764,kmeans,not_applicable,geometric,60,weekly,6.136759613682344,1.792,0.9381661386449627,0.896,0.9170830693224814,0.022222087738146677,0.038403983087638344
106,7,0.1432353855719849,kmeans,not_applicable,geometric,60,weekly,5.263664971579427,2.6175,0.7235947667357485,0.9323723122552481,0.8279835394954983,0.03139187263321092,0.09794497518296488
112,4,0.2040333239085511,kmeans,not_applicable,geometric,60,3day,15.257657864651035,1.9605,0.836978018008807,0.98025,0.9086140090044035,0.02914064231467632,0.042277158615307855
114,9,0.1441071401876144,kmeans,not_applicable,geometric,60,3day,12.105328315113026,2.9438,0.7252205187815695,0.9286655042818283,0.8269430115316989,0.06170676582117021,0.16335695230067065
115,10,0.1440194019442874,kmeans,not_applicable,geometric,60,3day,11.292576726844151,3.2069,0.7250568940343891,0.9653730930948213,0.8452149935646052,0.06296122001288328,0.20169722559105951
119,4,0.1420676995477101,kmeans,not_applicable,geometric,60,full,31.682846018769173,1.9801,0.7214171264814775,0.99005,0.8557335632407388,0.06398515137322025,0.0735773030690626
