,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
585,5,0.1946550093538875,kmeans,not_applicable,geometric,21,3day,21.0,0.036,0.2883,0.2523,0.5610278596069107,0.7677012098895317,0.6643645347482212
586,6,0.0902161930790453,kmeans,not_applicable,geometric,21,3day,,,,,0.45225135315242593,,
587,7,0.1072501822316592,kmeans,not_applicable,geometric,21,3day,,,,,0.4699928203300012,,
588,4,0.0645799684239933,kmeans,not_applicable,geometric,21,full,,,,,0.42555037112175714,,
589,5,0.039511363292295,kmeans,not_applicable,geometric,21,full,,,,,0.39944058373449837,,
590,6,0.0421958205640413,kmeans,not_applicable,geometric,21,full,,,,,0.40223653541379023,,
591,7,0.0620210453479621,kmeans,not_applicable,geometric,21,full,,,,,0.4228851674893842,,
592,4,0.3465291842932974,kmeans,not_applicable,geometric,21,weekly,21.0,0.1577,0.3288,0.1712,0.719209872385485,0.8530247238295634,0.7861172981075242
593,5,0.3177117441818077,kmeans,not_applicable,geometric,21,weekly,21.0,0.1081,0.3378,0.2297,0.6891955484770256,0.7914781693845345,0.74033685893078
594,6,0.3282806270953934,kmeans,not_applicable,geometric,21,weekly,21.0,0.036,0.3153,0.2793,0.7002033921262769,0.73929510783798,0.7197492499821285
595,7,0.3170810448405428,kmeans,not_applicable,geometric,21,weekly,21.0,0.036,0.2027,0.1667,0.6885386541018022,0.8577590741714887,0.7731488641366454
596,4,0.1653751428942564,kmeans,not_applicable,geometric,30,3day,30.0,0.2072,0.2883,0.0811,0.53053190325146,0.9478169384534455,0.7391744208524528
597,5,0.1587616789788282,kmeans,not_applicable,geometric,30,3day,30.0,0.036,0.3649,0.3288,0.523643760260736,0.6872172540768018,0.6054305071687689
598,6,0.1292434873868216,kmeans,not_applicable,geometric,30,3day,30.0,0.0946,0.2568,0.1622,0.49289958034028547,0.8624934245134139,0.6776965024268498
599,7,0.1390332175162584,kmeans,not_applicable,geometric,30,3day,30.0,0.0135,0.2523,0.2387,0.5030959104079297,0.7820094687006839,0.6425526895543068
600,4,0.1382324530052959,kmeans,not_applicable,geometric,30,full,,,,,0.502261887492867,,
601,5,0.0961342429208933,kmeans,not_applicable,geometric,30,full,30.0,0.036,0.3694,0.3333,0.4584151992182953,0.6824829037348764,0.5704490514765859
602,6,0.1289612469864352,kmeans,not_applicable,geometric,30,full,30.0,0.018,0.4189,0.4009,0.4926056175606466,0.6113624408206207,0.5519840291906337
603,7,0.0902793856053486,kmeans,not_applicable,geometric,30,full,30.0,0.0225,0.2703,0.2477,0.4523171702737845,0.7725407680168332,0.6124289691453089
604,4,0.5790291086251727,kmeans,not_applicable,geometric,30,weekly,30.0,0.1532,0.3874,0.2342,0.9613662891453094,0.7867438190426091,0.8740550540939593
605,5,0.494024746114943,kmeans,not_applicable,geometric,30,weekly,30.0,0.0946,0.2973,0.2027,0.8728314137315532,0.8198842714360863,0.8463578425838197
606,6,0.4824680799031526,kmeans,not_applicable,geometric,30,weekly,30.0,0.0405,0.2928,0.2523,0.8607947608699296,0.7677012098895317,0.8142479853797306
607,7,0.4712249918070179,kmeans,not_applicable,geometric,30,weekly,30.0,0.0811,0.2883,0.2072,0.8490847100623915,0.815149921094161,0.8321173155782762
608,4,0.0230073064329376,kmeans,not_applicable,geometric,3,3day,,,,,0.3822510586946639,,
609,5,0.0230060467259052,kmeans,not_applicable,geometric,3,3day,3.0,0.0721,0.2748,0.2027,0.3822497466678234,0.8198842714360863,0.6010670090519549
610,6,0.0188755250581675,kmeans,not_applicable,geometric,3,3day,3.0,0.0315,0.4234,0.3919,0.3779476707455086,0.6208311415044714,0.49938940612499
611,7,0.017420510685753,kmeans,not_applicable,geometric,3,3day,3.0,0.045,0.2342,0.1892,0.37643222480387895,0.8340873224618621,0.6052597736328705
612,4,0.0245148152368474,kmeans,not_applicable,geometric,3,full,,,,,0.38382117933551024,,
613,5,0.0242035275739465,kmeans,not_applicable,geometric,3,full,3.0,0.0495,0.455,0.4054,0.38349696286427376,0.6066280904786954,0.49506252667148454
614,6,0.0295750145556767,kmeans,not_applicable,geometric,3,full,3.0,0.0856,0.2793,0.1937,0.3890915455029809,0.8293529721199369,0.6092222588114589
615,7,0.0296483785262887,kmeans,not_applicable,geometric,3,full,3.0,0.0586,0.2523,0.1937,0.38916795652244135,0.8293529721199369,0.6092604643211891
616,4,0.0591374635348512,kmeans,not_applicable,geometric,3,weekly,,,,,0.4198818209665699,,
617,5,0.0158773833737957,kmeans,not_applicable,geometric,3,weekly,3.0,0.0721,0.2568,0.1847,0.37482500630029614,0.8388216728037875,0.6068233395520418
618,6,0.0433481969001026,kmeans,not_applicable,geometric,3,weekly,3.0,0.0856,0.3108,0.2252,0.403436773758389,0.7962125197264598,0.5998246467424244
619,7,0.0368779698331519,kmeans,not_applicable,geometric,3,weekly,3.0,0.0541,0.2162,0.1622,0.396697816717187,0.8624934245134139,0.6295956206153005
620,4,0.3781254041112461,kmeans,not_applicable,geometric,60,3day,60.0,0.027,0.4685,0.4414,0.7521183879312736,0.568753287743293,0.6604358378372833
621,5,0.3876604550547356,kmeans,not_applicable,geometric,60,3day,60.0,0.045,0.3288,0.2838,0.7620494611422994,0.7345607574960547,0.748305109319177
622,6,0.2929360513398681,kmeans,not_applicable,geometric,60,3day,60.0,0.0766,0.3198,0.2432,0.6633908389977135,0.7772751183587585,0.720332978678236
623,7,0.3440449848371872,kmeans,not_applicable,geometric,60,3day,60.0,0.036,0.2703,0.2342,0.7166224958926235,0.7867438190426091,0.7516831574676164
624,4,0.1000862738922645,kmeans,not_applicable,geometric,60,full,,,,,0.46253137113405496,,
625,5,0.1562331159554057,kmeans,not_applicable,geometric,60,full,60.0,0.036,0.2883,0.2523,0.5210101776345784,0.7677012098895317,0.644355693762055
626,6,0.1179918780566322,kmeans,not_applicable,geometric,60,full,,,,,0.4811806543836006,,
627,7,0.1249667043443017,kmeans,not_applicable,geometric,60,full,,,,,0.48844516832354223,,
628,4,0.1153807473613408,kmeans,not_applicable,geometric,7,3day,,,,,0.4784610747765088,,
629,5,0.0802929776762852,kmeans,not_applicable,geometric,7,3day,7.0,0.0901,0.3784,0.2883,0.4419159937256494,0.7298264071541294,0.5858712004398894
630,6,0.0627572331456052,kmeans,not_applicable,geometric,7,3day,7.0,0.0315,0.3829,0.3514,0.4236519316061978,0.663440294581799,0.5435461130939984
631,7,0.0527754036801826,kmeans,not_applicable,geometric,7,3day,7.0,0.0135,0.3108,0.2973,0.4132555236804728,0.7203577064702789,0.5668066150753759
632,4,0.0858874355607489,kmeans,not_applicable,geometric,7,full,,,,,0.4477428079876691,,
633,5,0.0405888920606799,kmeans,not_applicable,geometric,7,full,7.0,0.0586,0.2973,0.2387,0.40056286584386913,0.7820094687006839,0.5912861672722765
634,6,0.0602137477256687,kmeans,not_applicable,geometric,7,full,7.0,0.018,0.3153,0.2973,0.42100280680694196,0.7203577064702789,0.5706802566386104
635,7,0.0427007639695674,kmeans,not_applicable,geometric,7,full,7.0,0.0405,0.2793,0.2387,0.40276245079247297,0.7820094687006839,0.5923859597465784
636,4,0.1223626016920361,kmeans,not_applicable,geometric,7,weekly,,,,,0.485732908657396,,
637,5,0.1038325373635622,kmeans,not_applicable,geometric,7,weekly,7.0,0.045,0.2883,0.2432,0.46643322934349135,0.7772751183587585,0.621854173851125
638,6,0.0755536379471502,kmeans,not_applicable,geometric,7,weekly,7.0,0.0405,0.2658,0.2252,0.43697981351005233,0.7962125197264598,0.616596166618256
639,7,0.0999482551812881,kmeans,not_applicable,geometric,7,weekly,7.0,0.0541,0.2027,0.1486,0.4623876200485787,0.876801683324566,0.6695946516865723
720,4,0.1112586011455414,kshape,not_applicable,geometric,10,3day,10.0,0.1486,0.3604,0.2117,0.4741677221664099,0.8104155707522357,0.6422916464593228
721,5,0.0908636425937273,kshape,not_applicable,geometric,10,3day,10.0,0.0766,0.3288,0.2523,0.4529256933912833,0.7677012098895317,0.6103134516404075
722,6,0.1079950561216949,kshape,not_applicable,geometric,10,3day,10.0,0.0901,0.2703,0.1802,0.47076863130141267,0.8435560231457128,0.6571623272235627
723,7,0.1368997691076473,kshape,not_applicable,geometric,10,3day,10.0,0.0766,0.2387,0.1622,0.5008738528160581,0.8624934245134139,0.681683638664736
724,4,0.1350683280643417,kshape,not_applicable,geometric,10,full,10.0,0.1892,0.4189,0.2297,0.49896634595631084,0.7914781693845345,0.6452222576704227
725,5,0.135034460915714,kshape,not_applicable,geometric,10,full,10.0,0.1216,0.3874,0.2658,0.49893107219275534,0.7534981588637559,0.6262146155282556
726,6,0.1320583395920237,kshape,not_applicable,geometric,10,full,10.0,0.0541,0.3604,0.3063,0.4958313426867852,0.7108890057864281,0.6033601742366066
727,7,0.1517618558819126,kshape,not_applicable,geometric,10,full,10.0,0.0631,0.2387,0.1757,0.5163532113112137,0.8482903734876381,0.6823217923994259
728,4,0.0680626086799224,kshape,not_applicable,geometric,10,weekly,10.0,0.2207,0.2928,0.0721,0.42917765696996885,0.9572856391372961,0.6932316480536325
729,5,0.1110042663783558,kshape,not_applicable,geometric,10,weekly,10.0,0.1261,0.2252,0.0991,0.4739028240334058,0.9288795370857443,0.7013911805595751
730,6,0.096804893039772,kshape,not_applicable,geometric,10,weekly,10.0,0.0766,0.2252,0.1486,0.45911370365933507,0.876801683324566,0.6679576934919506
731,7,0.1054661071559923,kshape,not_applicable,geometric,10,weekly,10.0,0.0495,0.2297,0.1802,0.46813464670351296,0.8435560231457128,0.6558453349246128
732,4,0.1128086963522362,kshape,not_applicable,geometric,14,3day,14.0,0.1982,0.3063,0.1081,0.4757821979644923,0.9194108364018938,0.697596517183193
733,5,0.1181274283124874,kshape,not_applicable,geometric,14,3day,14.0,0.1486,0.2748,0.1261,0.4813218344908333,0.9004734350341925,0.6908976347625129
734,6,0.1319230522195204,kshape,not_applicable,geometric,14,3day,14.0,0.0676,0.2568,0.1892,0.49569043638132126,0.8340873224618621,0.6648888794215917
735,7,0.09672671906257,kshape,not_applicable,geometric,14,3day,14.0,0.045,0.2432,0.1982,0.4590322828577692,0.8246186217780116,0.6418254523178903
736,4,0.1179013707299267,kshape,not_applicable,geometric,14,full,14.0,0.1486,0.4144,0.2658,0.48108638798765013,0.7534981588637559,0.617292273425703
737,5,0.1207008180402412,kshape,not_applicable,geometric,14,full,14.0,0.1171,0.2568,0.1396,0.48400210562292145,0.8862703840084166,0.685136244815669
738,6,0.1344770350005728,kshape,not_applicable,geometric,14,full,14.0,0.0946,0.1937,0.0991,0.49835049453189134,0.9288795370857443,0.7136150158088178
739,7,0.1212701081371331,kshape,not_applicable,geometric,14,full,14.0,0.0856,0.3378,0.2523,0.48459504022432554,0.7677012098895317,0.6261481250569286
740,4,0.024605404612906,kshape,not_applicable,geometric,14,weekly,14.0,0.1757,0.3288,0.1532,0.38391553118859534,0.8719621251972646,0.6279388281929299
741,5,0.0073146377460168,kshape,not_applicable,geometric,14,weekly,14.0,0.1577,0.2252,0.0676,0.36590662146723696,0.9620199894792215,0.6639633054732292
742,6,0.0249614916952174,kshape,not_applicable,geometric,14,weekly,14.0,0.0856,0.2027,0.1171,0.3842864077476083,0.9099421357180432,0.6471142717328258
743,7,0.0416657936940939,kshape,not_applicable,geometric,14,weekly,14.0,0.0991,0.1847,0.0856,0.4016844947712751,0.9430825881115202,0.6723835414413977
744,4,0.0819033842121023,kshape,not_applicable,geometric,21,3day,,,,,0.4435932857822413,,
745,5,0.0997263921473437,kshape,not_applicable,geometric,21,3day,,,,,0.4621565423075178,,
746,6,0.1186631447101238,kshape,not_applicable,geometric,21,3day,,,,,0.48187980096597904,,
747,7,0.1271979107626349,kshape,not_applicable,geometric,21,3day,21.0,0.0766,0.1847,0.1081,0.49076904413927736,0.9194108364018938,0.7050899402705856
748,4,0.1035254768931372,kshape,not_applicable,geometric,21,full,,,,,0.4661134156340444,,
749,5,0.1182393612255605,kshape,not_applicable,geometric,21,full,,,,,0.48143841634876366,,
750,6,0.1158005115790574,kshape,not_applicable,geometric,21,full,,,,,0.4788982731934044,,
751,7,0.1326327192179754,kshape,not_applicable,geometric,21,full,21.0,0.0631,0.2027,0.1396,0.496429578202259,0.8862703840084166,0.6913499811053379
752,4,-0.0227055680743864,kshape,not_applicable,geometric,21,weekly,,,,,0.3346395770036676,,
753,5,-0.0256059140842812,kshape,not_applicable,geometric,21,weekly,,,,,0.3316187700114156,,
754,6,-0.0696955674563025,kshape,not_applicable,geometric,21,weekly,,,,,0.2856979272092846,,
755,7,-0.0792187712369717,kshape,not_applicable,geometric,21,weekly,21.0,0.0225,0.2027,0.1802,0.2757791932130159,0.8435560231457128,0.5596676081793643
756,4,0.0576390267306783,kshape,not_applicable,geometric,30,3day,30.0,0.2342,0.2658,0.0315,0.4183211491156767,1.0,0.7091605745578383
757,5,0.0405324849169967,kshape,not_applicable,geometric,30,3day,30.0,0.036,0.3423,0.3063,0.40050411592455953,0.7108890057864281,0.5556965608554938
758,6,0.078400875955592,kshape,not_applicable,geometric,30,3day,30.0,0.1036,0.2342,0.1306,0.439945306749536,0.8957390846922673,0.6678421957209016
759,7,0.0495877996759614,kshape,not_applicable,geometric,30,3day,30.0,0.0856,0.2613,0.1757,0.4099355279173359,0.8482903734876381,0.6291129507024871
760,4,0.0711454264662126,kshape,not_applicable,geometric,30,full,30.0,0.1712,0.2973,0.1261,0.4323885143962529,0.9004734350341925,0.6664309747152227
761,5,0.1224073979147104,kshape,not_applicable,geometric,30,full,30.0,0.1171,0.2838,0.1667,0.4857795654156653,0.8577590741714887,0.671769319793577
762,6,0.0920760040330766,kshape,not_applicable,geometric,30,full,30.0,0.1396,0.2297,0.0901,0.45418840821931716,0.938348237769595,0.6962683229944561
763,7,0.1042126309143514,kshape,not_applicable,geometric,30,full,30.0,0.036,0.2207,0.1847,0.46682910943918227,0.8388216728037875,0.6528253911214849
764,4,0.004536501253432,kshape,not_applicable,geometric,30,weekly,30.0,0.0901,0.473,0.3829,0.36301309975858576,0.6302998421883219,0.49665647097345383
765,5,-0.0817359556973514,kshape,not_applicable,geometric,30,weekly,30.0,0.0946,0.3649,0.2703,0.2731574617393361,0.7487638085218307,0.5109606351305833
766,6,-0.2400344379857114,kshape,not_applicable,geometric,30,weekly,30.0,0.036,0.2568,0.2207,0.10828431883563994,0.800946870068385,0.4546155944520125
767,7,-0.2961006373836018,kshape,not_applicable,geometric,30,weekly,30.0,0.0225,0.2613,0.2387,0.04988950435752776,0.7820094687006839,0.4159494865291058
768,4,0.1501723046469779,kshape,not_applicable,geometric,3,3day,3.0,0.1441,0.4775,0.3333,0.5146976407452702,0.6824829037348764,0.5985902722400733
769,5,0.1216838956764071,kshape,not_applicable,geometric,3,3day,3.0,0.0856,0.4054,0.3198,0.4850260137315144,0.6966859547606523,0.5908559842460833
770,6,0.1640854221092376,kshape,not_applicable,geometric,3,3day,3.0,0.0631,0.2613,0.1982,0.5291886160877404,0.8246186217780116,0.676903618932876
771,7,0.1763725957145889,kshape,not_applicable,geometric,3,3day,3.0,0.0676,0.2973,0.2297,0.5419861167360871,0.7914781693845345,0.6667321430603108
772,4,0.1621196265287171,kshape,not_applicable,geometric,3,full,3.0,0.1396,0.5045,0.3649,0.5271411745015587,0.6492372435560232,0.588189209028791
773,5,0.1740987548821905,kshape,not_applicable,geometric,3,full,3.0,0.1441,0.3784,0.2342,0.5396178357577682,0.7867438190426091,0.6631808274001887
774,6,0.1887141021452332,kshape,not_applicable,geometric,3,full,3.0,0.0946,0.2703,0.1757,0.5548402068320357,0.8482903734876381,0.7015652901598369
775,7,0.1807022043836225,kshape,not_applicable,geometric,3,full,3.0,0.045,0.2928,0.2477,0.5464955484026923,0.7725407680168332,0.6595181582097628
776,4,0.1072378449147666,kshape,not_applicable,geometric,3,weekly,3.0,0.1577,0.3739,0.2162,0.4699799706034487,0.8056812204103103,0.6378305955068795
777,5,0.1175076907270964,kshape,not_applicable,geometric,3,weekly,3.0,0.0766,0.3919,0.3153,0.48067635714953555,0.7014203051025776,0.5910483311260566
778,6,0.1257532850740817,kshape,not_applicable,geometric,3,weekly,3.0,0.0721,0.2793,0.2072,0.48926441835798073,0.815149921094161,0.6522071697260708
779,7,0.1457330355483741,kshape,not_applicable,geometric,3,weekly,3.0,0.0586,0.1937,0.1351,0.5100739940880092,0.891004734350342,0.7005393642191756
780,4,-0.0395476813029828,kshape,not_applicable,geometric,60,3day,,,,,0.31709795499316523,,
781,5,-0.0485762372757263,kshape,not_applicable,geometric,60,3day,,,,,0.30769441316768803,,
782,6,-0.0655476223917705,kshape,not_applicable,geometric,60,3day,,,,,0.29001815017980864,,
783,7,-0.0923479098603155,kshape,not_applicable,geometric,60,3day,,,,,0.26210475794896937,,
784,4,0.0301006837316815,kshape,not_applicable,geometric,60,full,,,,,0.38963904746208133,,
785,5,0.040678488010777,kshape,not_applicable,geometric,60,full,,,,,0.40065618301072004,,
786,6,0.0871795195995517,kshape,not_applicable,geometric,60,full,,,,,0.449088556558935,,
787,7,0.0824811076945621,kshape,not_applicable,geometric,60,full,,,,,0.4441950040356665,,
788,4,0.1186134947419468,kshape,not_applicable,geometric,7,3day,7.0,0.1892,0.3784,0.1892,0.48182808887006967,0.8340873224618621,0.6579577056659659
789,5,0.1292569347323559,kshape,not_applicable,geometric,7,3day,7.0,0.1216,0.3288,0.2072,0.49291358619864806,0.815149921094161,0.6540317536464045
790,6,0.1401525728550198,kshape,not_applicable,geometric,7,3day,7.0,0.1036,0.2252,0.1216,0.5042617562837697,0.9052077853761178,0.7047347708299437
791,7,0.1474329952037049,kshape,not_applicable,geometric,7,3day,7.0,0.0946,0.2342,0.1396,0.5118445587019727,0.8862703840084166,0.6990574713551947
792,4,0.129810747952561,kshape,not_applicable,geometric,7,full,7.0,0.1351,0.4685,0.3333,0.49349040111738185,0.6824829037348764,0.5879866524261291
793,5,0.1463214056384936,kshape,not_applicable,geometric,7,full,7.0,0.1261,0.3784,0.2523,0.5106868011379961,0.7677012098895317,0.6391940055137639
794,6,0.1724031920718831,kshape,not_applicable,geometric,7,full,7.0,0.1081,0.2117,0.1036,0.5378518506043745,0.9241451867438191,0.7309985186740968
795,7,0.1752457813779887,kshape,not_applicable,geometric,7,full,7.0,0.0586,0.2703,0.2117,0.5408125020655068,0.8104155707522357,0.6756140364088712
796,4,0.1220942498624053,kshape,not_applicable,geometric,7,weekly,7.0,0.1622,0.3378,0.1757,0.4854534112868868,0.8482903734876381,0.6668718923872625
797,5,0.1093466241047277,kshape,not_applicable,geometric,7,weekly,7.0,0.1126,0.2658,0.1532,0.47217633438225903,0.8719621251972646,0.6720692297897618
798,6,0.1060752231368233,kshape,not_applicable,geometric,7,weekly,7.0,0.0631,0.2658,0.2027,0.46876906128981033,0.8198842714360863,0.6443266663629483
799,7,0.1078839324830283,kshape,not_applicable,geometric,7,weekly,7.0,0.0631,0.2432,0.1802,0.4706528923297371,0.8435560231457128,0.657104457737725
